sender,time_ms,type
10058,31.6,inhibitory
19,31.900000000000002,excitatory
34,31.900000000000002,excitatory
49,32.2,excitatory
10001,32.3,inhibitory
10037,32.3,inhibitory
18,32.4,excitatory
27,32.4,excitatory
10026,32.4,inhibitory
10018,32.5,inhibitory
1,32.5,excitatory
75,32.6,excitatory
10056,32.6,inhibitory
10034,32.6,inhibitory
10090,32.7,inhibitory
25,32.7,excitatory
45,32.7,excitatory
10017,32.7,inhibitory
43,32.8,excitatory
84,32.8,excitatory
56,32.8,excitatory
10048,32.9,inhibitory
67,32.9,excitatory
10076,32.9,inhibitory
10060,32.9,inhibitory
10021,32.9,inhibitory
36,32.9,excitatory
94,32.9,excitatory
10094,32.9,inhibitory
10029,32.9,inhibitory
28,32.9,excitatory
71,33.0,excitatory
37,33.0,excitatory
10028,33.0,inhibitory
21,33.1,excitatory
10045,33.1,inhibitory
10044,33.1,inhibitory
10039,33.1,inhibitory
2,33.1,excitatory
62,33.1,excitatory
10070,33.2,inhibitory
31,33.2,excitatory
10096,33.2,inhibitory
55,33.2,excitatory
88,33.2,excitatory
10088,33.3,inhibitory
61,33.3,excitatory
10075,33.4,inhibitory
53,33.4,excitatory
78,33.4,excitatory
10084,33.4,inhibitory
10055,33.4,inhibitory
10024,33.4,inhibitory
10092,33.5,inhibitory
77,33.5,excitatory
59,33.5,excitatory
10009,33.6,inhibitory
51,33.6,excitatory
10086,33.6,inhibitory
10087,33.6,inhibitory
10006,33.6,inhibitory
10053,33.6,inhibitory
93,33.7,excitatory
58,33.7,excitatory
70,33.7,excitatory
10033,33.8,inhibitory
10013,33.8,inhibitory
10082,33.8,inhibitory
100,33.9,excitatory
10042,33.9,inhibitory
10047,33.9,inhibitory
10051,33.9,inhibitory
10066,33.9,inhibitory
10014,33.9,inhibitory
74,33.9,excitatory
33,33.9,excitatory
23,34.0,excitatory
83,34.0,excitatory
10049,34.0,inhibitory
11,34.1,excitatory
86,34.1,excitatory
10025,34.1,inhibitory
32,34.1,excitatory
35,34.2,excitatory
10079,34.300000000000004,inhibitory
52,34.300000000000004,excitatory
4,34.4,excitatory
48,34.4,excitatory
89,34.5,excitatory
10011,34.5,inhibitory
10007,34.5,inhibitory
10080,34.6,inhibitory
14,34.800000000000004,excitatory
